Origen,Destino,Distancia,Minutos,Ruta
Puertollano,Argamasilla de Calatrava,6,12,N-420 y Carr. de Puertollano
Puertollano,Almodovar del Campo,9,16,CM-4110
Puertollano,Hinojosas de Calatrava,12,16,CR-502 y CR-5021
Puertollano,Brazatortas,20,19,N-420
Puertollano,Villamayor de Calatrava,17,23,CM-4110 y CM-4115
Puertollano,Corral de Calatrava,23,23,A-41 y N-420
Puertollano,Poblete,32,25,A-41
Puertollano,Cabezarados,28,29,CM-4110
Puertollano,Aldea del Rey,31,29,CM-413
Puertollano,Ballesteros de Calatrava,31,29,A-41
Puertollano,Los Pozuelos de Calatrava ,32,32,A-41 y CR-P-4123
Puertollano,Abenojar,34,33,CM-4110
Puertollano,Miguelturra,43,33,A-41
Puertollano,Calzada de Calatrava,36,34,CM-413
Puertollano,Valverde,40,35,A-41
Puertollano,Granatula de Calatrava,41,36,CM-413
Puertollano,Carrion de Calatrava,50,37,A-41
Puertollano,Pozuelo de Calatrava,51,38,A-41
Puertollano,Las Casas ,47,40,A-41
Puertollano,Alcolea de Calatrava,41,41,A-41 y CR-P-4124
Puertollano,Valenzuela de Calatrava,60,42,A-41
Puertollano,Torralba de Calatrava,58,43,A-41
Puertollano,Fuencaliente,57,44,N-420
Puertollano,Almagro,53,46,CM-413
Puertollano,Picon,54,46,A-41 y CM-412
Puertollano,Piedrabuena,55,46,A-41 y N-430
Puertollano,Moral de Calatrava,57,46,CM-413
Puertollano,Fernan Caballero,59,48,A-41
Puertollano,Saceruela,60,50,CM-4110
Puertollano,Alamillo,70,52,N-420 y CM-4202
Puertollano,Daimiel,72,52,A-41 y A-43
Puertollano,Malagon,66,53,A-41 y N-401
Puertollano,Viso del Marques,67,53,CM-413 y CM-4111
Puertollano,Bolaños de Calatrava,72,54,A-41
Puertollano,Luciana,67,55,A-41 y N-430
Puertollano,Santa Cruz de Mudela,67,55,CM-413 y CM-4122
Puertollano,San Lorenzo de Calatrava,50,56,"CR-502, CR-5011 y CR-5044"
Puertollano,Porzuna,70,57,A-41
Puertollano,Almuradiel,72,57,CM-413 y CM-4111
Puertollano,Arenas de San Juan,92,57,A-41 y A-43
Puertollano,Fuente el Fresno,76,58,A-41 y N-401
Puertollano,Llanos del Caudillo,104,61,A-41 y A-43
Puertollano,Torrenueva,77,62,CM-413 y CM-4122
Puertollano,Puebla de Don Rodrigo,78,64,CM-4110
Puertollano,Las Labores ,100,64,A-41 y A-43
Puertollano,Membrilla,104,64,A-41 y A-43
Puertollano,Consolacion,107,64,A-41 y A-43
Puertollano,Almadenejos,65,65,N-420 y C-424
Puertollano,Villarrubia de los Ojos,100,65,A-41 y A-43
Puertollano,Villarta de San Juan,100,65,A-41 y A-43
Puertollano,Guadalmez,90,66,N-420 y CM-4202
Puertollano,Puerto Lapice,105,66,"A-41, A-43 y CM-420"
Puertollano,La Solana ,109,68,A-41 y A-43
Puertollano,San Benito,87,69,N-420 y CM-4202
Puertollano,El Robledo ,85,70,A-41
Puertollano,El Torno ,86,71,A-41 y CM-403
Puertollano,Castellar de Santiago,92,71,CM-4111
Puertollano,San Carlos del Valle,119,71,A-41 y A-43
Puertollano,Argamasilla de Alba,120,71,A-41 y A-43
Puertollano,Chillon,94,73,N-420 y CM-4202
Puertollano,Herencia,119,76,"A-41, A-43 y CM-420"
Puertollano,Cinco Casas,121,76,A-41 y A-43
Puertollano,Urda,99,77,A-41 y N-401
Puertollano,Madridejos,125,77,A-41 y A-43
Puertollano,Tomelloso,129,77,A-41 y A-43
Puertollano,Agudo,89,78,CM-4110
Puertollano,Alcubillas,100,78,CM-413 y CM-412
Puertollano,Alhambra,128,78,A-41 y A-43
Puertollano,Villafranca de los,124,79,"A-41, A-43 y CM-420"
Puertollano,Pozo de la Serna,127,79,A-41 y A-43
Puertollano,Camuñas,129,80,A-41 y A-43
Puertollano,Arroba de los Montes,92,81,A-41 y CR-721
Puertollano,Alcoba,103,81,A-41 y CM-4106
Puertollano,Consuegra,129,81,A-41 y A-43
Puertollano,Carrizosa,137,83,"A-41, A-43 y N-430"
Puertollano,Cortijo de Arriba,100,86,A-41 y N-401
Puertollano,Cozar,109,86,CM-413 y CR-624
Puertollano,Torre de Juan Abad,113,86,CM-4111 y CM-3200
Puertollano,Villanueva de los Infantes,112,88,CM-413 y CM-412
Puertollano,Los Yebenes ,118,88,A-41 y N-401
Puertollano,Ruidera,146,88,"A-41, A-43 y N-430"
Puertollano,Orgaz,126,89,A-41 y N-401
Puertollano,Marjaliza,123,90,A-41 y N-401
Puertollano,Tembleque,149,90,A-4
Puertollano,Manzaneque,127,91,A-41 y N-401
Puertollano,Turleque,144,91,A-41
Puertollano,Villamanrique,119,92,CM-4111 y CM-3200
Puertollano,Campo de Criptana,144,93,A-41 y CM-420
Puertollano,Villacañas,147,93,A-41
Puertollano,Quero,138,94,A-41 y CM-420
Puertollano,Villahermosa,152,94,A-43
Puertollano,El Romeral ,154,94,A-4
Puertollano,La Guardia ,159,94,A-4
Puertollano,Socuellamos,161,94,A-43
Puertollano,Horcajo de los Montes,122,95,CM-4106
Puertollano,Pedro Muñoz,165,96,A-43
Puertollano,Puebla del Principe,126,97,CM-4111 y CM-3200
Puertollano,La Villa de Don Fadrique ,156,97,A-41
Puertollano,Villaminaya,133,98,A-41 y N-401
Puertollano,Mora,135,98,A-41 y N-401
Puertollano,Villarrobledo,172,98,A-43
Puertollano,Montiel,125,99,CM-413 y CM-412
Puertollano,Retuerta del Bullaque,130,99,CM-403
Puertollano,Sonseca,137,99,A-41 y N-401
Puertollano,Mascaraque,139,99,A-41 y N-401
Puertollano,Lillo,159,99,A-41
Puertollano,Ventas Con Peña Aguilera,131,100,CM-403
Puertollano,Ajofrin,139,100,A-41 y N-401
Puertollano,Ossa de Montiel,161,100,A-43 y N-430
Puertollano,Dosbarrios,171,100,A-4
Puertollano,Almonacid de Toledo,143,101,A-41 y N-401
Puertollano,Las Mesas ,171,101,A-43
Puertollano,Mazarambroz,141,103,A-41 y N-401
Puertollano,Miguel Esteban,154,103,CM-420
Puertollano,Burguillos de Toledo,148,104,N-401
Puertollano,Huerta de Valdecarabanos,174,104,A-4
Puertollano,Terrinches,136,105,CM-4111 y CM-3200
Puertollano,Nambroca,150,105,N-401
Puertollano,La Puebla de Almoradiel ,166,105,A-41
Puertollano,Villanueva de Bogas,169,105,A-4
Puertollano,Menasalbas,138,106,CM-403
Puertollano,Ocaña,179,106,A-4
Puertollano,Cuerva,138,107,CM-403
Puertollano,El Provencio ,190,107,A-43
Puertollano,Corral de Almaguer,172,108,A-41
Puertollano,Mota del Cuervo,178,108,A-43
Puertollano,Munera,181,108,A-43
Puertollano,San Clemente,194,108,A-43
Puertollano,Albaladejo,136,109,CM-413 y CM-412
Puertollano,San Pablo de los Montes,141,109,CM-403
Puertollano,Cobisa,151,109,N-401
Puertollano,Villanueva de la Fuente,171,109,A-43
Puertollano,El Toboso ,179,109,A-43
Puertollano,Yepes,181,109,A-4
Puertollano,Noblejas,182,109,A-4
Puertollano,El Pedernoso ,182,110,A-43
Puertollano,Minaya,197,110,A-43
Puertollano,Las Pedroñeras ,181,111,A-43
Puertollano,Ciruelos,184,111,A-4
Puertollano,Villatobas,187,111,A-4
Puertollano,Totanes,143,112,CM-403
Puertollano,Galvez,144,112,CM-403
Puertollano,Pulgar,144,112,CM-403
Puertollano,Villamuelas,154,112,N-401
Puertollano,Quintanar de la Orden,173,112,A-41
Puertollano,Villarrubia de Santiago,190,112,A-4
Puertollano,Arges,159,113,N-401
Puertollano,Toledo,159,113,N-401
Puertollano,Torre de Esteban Hambran,159,113,N-401
Puertollano,Villasequilla,184,113,A-4
Puertollano,El Bonillo ,190,113,A-43
Puertollano,Ontigola,190,113,A-4
Puertollano,Casas de Fernando Alonso,205,113,A-43
Puertollano,San Martin de Montalban,149,115,CM-403
Puertollano,Las Perdices ,164,116,N-401
Puertollano,Layos,162,117,N-401
Puertollano,Guadamur,166,117,N-401
Puertollano,Olias del Rey,167,117,N-401
Puertollano,Cabezamesada,181,117,A-41
Puertollano,Belmonte,190,117,A-43
Puertollano,Lezuza,196,117,A-43
Puertollano,Sisante,211,117,A-43
Puertollano,Villanueva de Alcardete,183,118,A-41
Puertollano,Polan,168,119,N-401
Puertollano,La Alberca de Zancara ,211,119,A-43
Puertollano,Noez,150,120,CM-403
Puertollano,Navahermosa,155,120,CM-403
Puertollano,Mocejon,169,120,N-401
Puertollano,Bargas,170,120,N-401
Puertollano,Los Hinojosos ,191,120,A-43
Puertollano,Barrax,205,120,A-43
Puertollano,Santa Cruz de la Zarza,206,120,A-4
Puertollano,Seseña Nuevo,206,120,A-4
Puertollano,La Roda ,218,120,A-43
Puertollano,Cabañas de la Sagra,174,121,N-401
Puertollano,Magan,175,121,N-401
Puertollano,Villaseca de la Sagra,176,121,N-401
Puertollano,Yunclillos,177,122,N-401
Puertollano,Villaescusa de Haro,197,123,A-43
Puertollano,Añover de Tajo,207,123,A-4
Puertollano,Honrubia,226,123,A-43
Puertollano,Yuncler,181,124,N-401
Puertollano,Seseña,209,124,A-4
Puertollano,Albarreal de Tajo,179,125,N-401
Puertollano,Camarenilla,179,125,N-401
Puertollano,Villaluenga de la Sagra,180,125,N-401
Puertollano,Rielves,181,125,N-401
Puertollano,Horcajo de Santiago,190,125,A-41
Puertollano,Alcaraz,193,125,A-43
Puertollano,Villamayor de Santiago,195,125,A-41
Puertollano,Borox,208,125,A-4
Puertollano,Villamiel de Toledo,176,126,N-401
Puertollano,Casas de Benitez,223,126,A-43
Puertollano,Recas,180,127,N-401
Puertollano,Yuncos,186,127,N-401
Puertollano,Numancia de la Sagra,187,127,N-401
Puertollano,Villapalacios,195,127,A-43
Puertollano,Robledo,197,127,A-43
Puertollano,Alameda de la Sagra,211,127,A-4
Puertollano,La Gineta ,236,127,A-43
Puertollano,Barcience,183,128,N-401
Puertollano,Lominchar,187,128,N-401
Puertollano,Villalgordo del Júcar,231,128,A-43
Puertollano,Huecas,182,129,N-401
Puertollano,Arcicollar,184,129,N-401
Puertollano,Cobeja,184,129,N-401
Puertollano,Torrijos,187,129,N-401
Puertollano,Burujon,187,130,N-401
Puertollano,Esquivias,217,130,A-4
Puertollano,Tarancon,222,130,A-4
Puertollano,La Puebla de Montalban ,169,131,CM-403
Puertollano,Santo Domingo-Caudilla,192,131,N-401
Puertollano,Illescas,193,131,N-401
Puertollano,El Señorio de Illescas ,193,131,N-401
Puertollano,Yeles,194,131,N-401
Puertollano,San Pedro,218,131,A-43
Puertollano,Pantoja,192,132,N-401
Puertollano,Fuente de Pedro Naharro,199,132,A-41
Puertollano,Balazote,218,132,A-43
Puertollano,Casasimarro,233,132,A-43
Puertollano,Camarena,188,133,N-401
Puertollano,Gerindote,191,133,N-401
Puertollano,Noves,192,133,N-401
Puertollano,Villanueva de la Jara,233,133,A-43
Puertollano,Cedillo del Condado,192,134,N-401
Puertollano,Palomeque,192,134,N-401
Puertollano,Chozas de Canales,193,135,N-401
Puertollano,Alcabon,196,135,N-401
Puertollano,Pozuelo,226,135,A-43
Puertollano,Motilla del Palancar,248,135,A-43
Puertollano,Fuensalida,188,136,N-401
Puertollano,Escalonilla,194,136,N-401
Puertollano,Maqueda,199,136,N-401
Puertollano,Tarazona de la Mancha,244,136,A-43
Puertollano,Portillo de Toledo,189,137,N-401
Puertollano,El Viso de San Juan ,194,137,N-401
Puertollano,Ugena,197,137,N-401
Puertollano,Carranque,204,137,N-401
Puertollano,Saelices,242,137,A-4
Puertollano,Santa Olalla,204,138,N-401
Puertollano,Quismondo,205,138,N-401
Puertollano,Los Navalmorales ,176,139,CM-403
Puertollano,Santa Cruz del Retamar,202,139,N-401
Puertollano,Barajas de Melo,241,139,A-4
Puertollano,Carmena,198,140,N-401
Puertollano,El Carpio de Tajo ,199,140,N-401
Puertollano,Villares del Saz,261,140,A-43
Puertollano,Las Ventas de Retamosa ,196,141,N-401
Puertollano,Casarrubios del Monte,204,141,N-401
Puertollano,Santa Ana,232,142,A-43
Puertollano,San Martin de Pusa,177,143,CM-403
Puertollano,Los Navalucillos ,181,143,CM-403
Puertollano,La Mata ,203,143,N-401
Puertollano,Hormigos,210,143,N-401
Puertollano,El Casar de Escalona ,214,143,N-401
Puertollano,Quintanar del Rey,248,143,A-43
Puertollano,Graja de Iniesta,268,143,A-43
Puertollano,Valmojado,208,144,N-401
Puertollano,Domingo Perez,215,144,N-401
