codigo_localidad:nombre_localidad:nombre_provincia:latitud:longitud
020370002:Agramon:Albacete:38,4233772:-1,637958
020030001:"Aguas Nuevas":Albacete:38,9184452:-1,9209164
020030002:Albacete:Albacete:38,994349:-1,8585424
020040001:Albatana:Albacete:38,5719998:-1,5205598
020050001:Alborea:Albacete:39,279205:-1,3957728
020070001:"Alcala del Jucar":Albacete:39,191786:-1,4295773
020080001:Alcaraz:Albacete:38,6665292:-2,4907128
020090001:Almansa:Albacete:38,8702789:-1,0993366
020100001:Alpera:Albacete:38,9590449:-1,2301597
020120001:Balazote:Albacete:38,884867:-2,1522868
020150001:Barrax:Albacete:39,0445824:-2,2014625
020170002:Bogarra:Albacete:38,5816548:-2,2132142
020180001:Bonete:Albacete:38,8716007:-1,3481301
020190001:"El Bonillo":Albacete:38,9510438:-2,5383647
020210001:"Casas de Juan Nuñez":Albacete:39,100201:-1,5578697
020240001:"Casas-Ibañez":Albacete:39,286714:-1,4712661
020250001:Caudete:Albacete:38,7051649:-0,9880419
020260001:Cenizate:Albacete:39,3023107:-1,6627091
020290002:"Chinchilla de Monte-":Albacete:39,0746233:-1,5159303
020300001:"Elche de la Sierra":Albacete:38,4500743:-2,0481401
020310001:Ferez:Albacete:38,3555477:-2,0084208
020330001:Fuente-Alamo:Albacete:38,6927241:-1,4325968
020340003:Fuentealbilla:Albacete:39,2675127:-1,5511323
020350001:"La Gineta":Albacete:39,1132781:-1,9961056
020370005:Hellin:Albacete:38,5068902:-1,6979398
020390003:Higueruela:Albacete:38,9618433:-1,4422609
020370006:Isso:Albacete:38,4891448:-1,7454418
020420003:Letur:Albacete:38,3656261:-2,1014619
020430001:Lezuza:Albacete:38,9496492:-2,3554527
020440005:Lietor:Albacete:38,5416545:-1,9532994
020450001:Madrigueras:Albacete:39,2366808:-1,8001488
020460001:Mahora:Albacete:39,2131243:-1,7259018
020480001:Minaya:Albacete:39,2710162:-2,3209341
020490011:Molinicos:Albacete:38,4663699:-2,2405913
020510001:"Montealegre del Castillo":Albacete:38,7888493:-1,3270397
020530001:Munera:Albacete:39,0424927:-2,4783117
020550009:Nerpio:Albacete:38,1477676:-2,2987502
